title,status,statusIcon,link
DNS解析保姆级攻略【开箱吧腾讯云】有奖互动等你来！,进行中,success,https://cloud.tencent.com/developer/article/2043794
【TDP加码福利】文档有奖反馈活动,进行中,success,https://cloud.tencent.com/developer/article/2042123
Happy Birthday ~~TDP周年庆活动来袭~~,已结束,secondary,https://cloud.tencent.com/developer/article/2032462
腾云先锋第四期招募令已出，TDP男孩女孩们 速来~~,已结束,secondary,https://cloud.tencent.com/developer/article/2014209
【开箱吧腾讯云——第二期对象存储COS】有奖互动来啦！,已结束,secondary,https://cloud.tencent.com/developer/article/2007510
【开箱吧腾讯云——第一期lighthouse】有奖互动来啦！,已结束,secondary,https://cloud.tencent.com/developer/article/1993405
#我与腾讯云不得不说的故事#有奖互动,已结束,secondary,https://cloud.tencent.com/developer/article/1963773
TDP·腾讯云产品“用户实践”征文活动,已结束,secondary,https://cloud.tencent.com/developer/article/1948608
TDP年末盛典活动，三大篇章共赴新春！,已结束,secondary,https://cloud.tencent.com/developer/article/1934619
双旦“协旧迎新”，组队赢取好礼！,已结束,secondary,/20211223/
腾讯云智能客服智囊团活动·第一期,已结束,secondary,/top.php
